frame;ID;left_xmin;left_ymin;left_xmax;left_ymax;f;C_x;C_y;x_il;v_il;x_ir;v_ir;disparitas;X_val;Y_val;Z_val;distance_cm;;X_actual;Y_actual;Z_actual
3;16;506;280;574;353;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;540;316;343;316;197;-0.2578426730433259;0.19842757178637765;0.6250131464604272;67.56;;;;
3;17;896;317;979;375;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;937;346;731;345;206;-0.01524036056470393;0.20489775220749715;0.5889660412661155;59.08;;;;
3;18;1136;258;1193;304;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1164;281;1001;280;163;0.1479100861892907;0.21749535036983883;0.7682716120443921;78.7;;;;
3;19;710;205;763;250;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;736;227;603;227;133;-0.20501772925999626;0.22434641012927314;0.965934784937051;99.27;;;;
3;20;569;267;633;323;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;601;295;420;294;181;-0.24018025501955134;0.203906839353242;0.6872265171216753;72.91;;;;
4;0;678;310;745;368;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;711;339;507;337;204;-0.14837418420614434;0.20333940710008763;0.5967997111908145;61.61;;;;
4;1;924;258;995;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;959;283;795;284;164;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;76.76;;;;
4;2;845;237;903;288;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;262;717;263;157;-0.06816543155569008;0.21322651005621654;0.8048958183827772;81.12;;;;
4;3;1315;269;1382;321;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1348;295;1177;295;171;0.2701551132473836;0.21583121592360702;0.7274152023334691;78.02;;;;
4;4;1501;243;1552;293;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1526;268;1374;268;152;0.44449651671708595;0.2243440996144184;0.8290034632613101;94.61;;;;
4;5;1250;283;1324;348;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1287;315;1108;311;179;0.217173988459811;0.21780041786679033;0.6881989349968358;72.68;;;;
4;6;1019;184;1068;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1043;208;926;208;117;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;111.83;;;;
4;7;1233;212;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;230;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;;;
4;8;488;357;599;440;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;543;398;305;394;238;-0.21191130050066526;0.20006173458114684;0.4966638230709533;54.0;;;;
4;9;1085;200;1134;248;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1109;224;983;223;126;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;103.76;;;;
4;10;1264;186;1315;232;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1289;209;1171;208;118;0.3314764574680008;0.23700719796183484;10.978.786.237.945.600;115.39;;;;
4;11;1380;204;1424;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1402;227;1276;228;126;0.41808437803243104;0.23681009958089932;1.019.597.828.544.660;110.93;;;;
4;12;1224;243;1284;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1254;266;1104;263;150;0.2327523744010705;0.22594926302579818;0.840857102927854;87.88;;;;
4;13;1457;298;1521;354;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1489;326;1301;325;188;0.33575546102667886;0.21345638340173265;0.6517414613585605;73.69;;;;
4;14;867;190;917;235;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;892;212;764;213;128;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;101.72;;;;
4;15;1136;257;1193;304;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1164;280;1001;281;163;0.1479100861892907;0.21685757832222577;0.7686398299077631;78.72;;;;
4;16;1438;226;1492;266;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1465;246;1326;245;139;0.433389137482019;0.22887232070971986;0.9160356523292639;101.95;;;;
4;17;896;317;978;375;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;937;346;731;345;206;-0.01524036056470393;0.20489775220749715;0.5889660412661155;59.08;;;;
4;18;507;282;573;352;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;540;317;341;316;199;-0.25525128939464925;0.19695572103355447;0.6184300017134406;66.81;;;;
4;19;569;269;632;323;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;600;296;420;294;180;-0.24218147323332082;0.20561719314832075;0.6907110004849651;73.35;;;;
4;20;708;204;764;250;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;736;227;603;227;133;-0.20501772925999626;0.22434641012927314;0.965934784937051;99.27;;;;
