frame;ID;X_pc;Y_pc;Z_pc;Z_slant_pc;cm_pc;X_ts;Y_ts;Z_ts;Z_slant_ts;cm_ts;X_actual;Y_actual;Z_actual;jarak actual;
3;18;0.1605754;0.23035449;0.7733404;0.88820744;86.54;0.1479100861892907;0.21749535036983883;0.7682716120443921;0.8120485766888034;78.7;;;;;
3;19;-0.20587736;0.23263794;0.95799446;11.506.617;113.31;-0.20501772925999626;0.22434641012927314;0.965934784937051;1.012.617.198.056.700;99.27;;;;;
3;20;-0.2395799;0.21050562;0.68991864;0.7624669;73.58;-0.24018025501955134;0.203906839353242;0.6872265171216753;0.756005846453236;72.91;;;;;
4;0;-0.1479662;0.20925218;0.58910716;0.6618564;63.09;-0.14837418420614434;0.20333940710008763;0.5967997111908145;0.6477126741820741;61.61;;;;;
4;1;-0.00305177;0.22305577;0.76435447;0.8302467;80.58;-0.0030405839038532977;0.2174369255963756;0.7628550837791278;0.7932439351239569;76.76;;;;;
4;2;-0.068629;0.22190054;0.8069631;0.8439631;81.99;-0.06816543155569008;0.21322651005621654;0.8048958183827772;0.8354455991266025;81.12;;;;;
4;3;0.28127623;0.22588663;0.73344135;0.886261;86.34;0.2701551132473836;0.21583121592360702;0.7274152023334691;0.8054190062114323;78.02;;;;;
4;4;0.44420516;0.23057592;0.8162499;0.95685196;93.57;0.44449651671708595;0.2243440996144184;0.8290034632613101;0.9670336966748745;94.61;;;;;
4;5;0.21356902;0.22339699;0.67616856;0.7635466;73.69;0.217173988459811;0.21780041786679033;0.6881989349968358;0.7538032484788518;72.68;;;;;
4;6;0.0903392;0.2544126;11.290.635;11.485.509;113.1;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;11.360.411.422.689.300;111.83;;;;;
4;7;0.30260345;0.25268406;1.048.877;11.310.619;111.32;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;;;;;
4;8;-0.21131556;0.20595756;0.4892243;0.5832703;54.79;-0.21191130050066526;0.20006173458114684;0.4966638230709533;0.5758524551227995;54.0;;;;;
4;9;0.13727365;0.24247059;0.9954384;10.366.386;101.72;0.1389460139572358;0.23433493663421046;10.210.268.645.382.200;10.567.472.334.625.300;103.76;;;;;
4;10;0.32555094;0.2495265;10.914.966;11.780.543;116.1;0.3314764574680008;0.23700719796183484;10.978.786.237.945.600;11.710.621.359.801.100;115.39;;;;;
4;11;0.769263;0.41609228;19.071.336;19.203.994;191.0;0.41808437803243104;0.23681009958089932;1.019.597.828.544.660;11.271.438.694.289.500;110.93;;;;;
4;12;0.23808774;0.23683609;0.8504922;0.95604247;93.49;0.2327523744010705;0.22594926302579818;0.840857102927854;0.9012587890253615;87.88;;;;;
4;13;0.344177;0.22413969;0.6462065;0.810162;78.51;0.33575546102667886;0.21345638340173265;0.6517414613585605;0.763585155485606;73.69;;;;;
4;14;-0.07450202;0.25252244;10.893.983;11.211.747;110.32;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;10.367.142.649.125.500;101.72;;;;;
4;15;0.16809219;0.2553451;0.9680518;0.9495389;92.82;0.1479100861892907;0.21685757832222577;0.7686398299077631;0.8122264407127724;78.72;;;;;
4;16;0.76800454;0.38913828;16.224.974;15.213.755;150.82;0.433389137482019;0.22887232070971986;0.9160356523292639;10.389.080.806.369.500;101.95;;;;;
4;17;-0.017368983;0.21197584;0.5811262;0.6400515;60.8;-0.01524036056470393;0.20489775220749715;0.5889660412661155;0.6237758854063747;59.08;;;;;
4;18;-0.26036364;0.20547622;0.6129389;0.7147387;68.62;-0.25525128939464925;0.19695572103355447;0.6184300017134406;0.6974241491407969;66.81;;;;;
4;19;-0.24490935;0.2046031;0.6960256;0.77063346;74.42;-0.24218147323332082;0.20561719314832075;0.6907110004849651;0.7602709926641927;73.35;;;;;
4;20;-0.20579022;0.23217243;0.95704913;11.161.432;109.81;-0.20501772925999626;0.22434641012927314;0.965934784937051;1.012.617.198.056.700;99.27;;;;;
5;0;0.009510329;0.2320281;0.77404004;0.929051;90.73;-0.0022808237154998984;0.21481720360123854;0.7536640586733552;0.7836843410811981;75.77;;;;;
5;1;-0.14687535;0.21096891;0.58985364;0.66471267;63.39;-0.14635094443977906;0.2018698829717418;0.5907141823844498;0.6411811708554526;60.92;;;;;
5;2;0.44713303;0.23275301;0.81832874;11.152.476;109.72;0.44449651671708595;0.22366017301072805;0.8293983284700567;0.9672138406959112;94.63;;;;;
5;3;0.21442083;0.22300881;0.67604864;0.76181215;73.51;0.21543747490477977;0.21481943621212451;0.6809261263876415;0.7458023098416369;71.85;;;;;
5;4;-0.07397857;0.22133203;0.80826354;0.8582903;83.47;-0.06860238945027783;0.21459334665914098;0.810055406962154;0.8408010196338244;81.67;;;;;
5;5;0.27893165;0.22549085;0.7322514;0.85157764;82.78;0.2701551132473836;0.21583121592360702;0.7274152023334691;0.8054190062114323;78.02;;;;;
5;6;0.086809866;0.2497949;10.827.878;11.167.302;109.87;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;11.360.411.422.689.300;111.83;;;;;
5;7;0.30325666;0.25160766;1.044.847;11.248.804;110.7;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;;;;;
